2026-08-08T00:15:04.235+09:00  INFO 24256 --- [CardCapture-back] [http-nio-8080-exec-6] j.c.e.c.service.CardCuptureInitService   : CardCuptureInitService; init 開始
2026-08-08T00:15:04.237+09:00  INFO 24256 --- [CardCapture-back] [http-nio-8080-exec-6] jp.co.ea.cardcapture.model.TrumpDeck     : createDeck; 開始
2026-08-08T00:15:04.242+09:00  INFO 24256 --- [CardCapture-back] [http-nio-8080-exec-6] jp.co.ea.cardcapture.model.TrumpDeck     : createDeck; makeCard :code; 103 / suitLスペード s:1 / num: 2 numLab:2
2026-08-08T00:15:04.242+09:00  INFO 24256 --- [CardCapture-back] [http-nio-8080-exec-6] jp.co.ea.cardcapture.model.TrumpDeck     : suit=1 / num=2 / card-c:103
2026-08-08T00:15:04.243+09:00  INFO 24256 --- [CardCapture-back] [http-nio-8080-exec-6] jp.co.ea.cardcapture.model.TrumpDeck     : createDeck; makeCard :code; 104 / suitLスペード s:1 / num: 3 numLab:3
2026-08-08T00:15:04.243+09:00  INFO 24256 --- [CardCapture-back] [http-nio-8080-exec-6] jp.co.ea.cardcapture.model.TrumpDeck     : suit=1 / num=3 / card-c:104
2026-08-08T00:15:04.243+09:00  INFO 24256 --- [CardCapture-back] [http-nio-8080-exec-6] jp.co.ea.cardcapture.model.TrumpDeck     : createDeck; makeCard :code; 105 / suitLスペード s:1 / num: 4 numLab:4
2026-08-08T00:15:04.243+09:00  INFO 24256 --- [CardCapture-back] [http-nio-8080-exec-6] jp.co.ea.cardcapture.model.TrumpDeck     : suit=1 / num=4 / card-c:105
2026-08-08T00:15:04.243+09:00  INFO 24256 --- [CardCapture-back] [http-nio-8080-exec-6] jp.co.ea.cardcapture.model.TrumpDeck     : createDeck; makeCard :code; 106 / suitLスペード s:1 / num: 5 numLab:5
2026-08-08T00:15:04.243+09:00  INFO 24256 --- [CardCapture-back] [http-nio-8080-exec-6] jp.co.ea.cardcapture.model.TrumpDeck     : suit=1 / num=5 / card-c:106
2026-08-08T00:15:04.243+09:00  INFO 24256 --- [CardCapture-back] [http-nio-8080-exec-6] jp.co.ea.cardcapture.model.TrumpDeck     : createDeck; makeCard :code; 107 / suitLスペード s:1 / num: 6 numLab:6
2026-08-08T00:15:04.243+09:00  INFO 24256 --- [CardCapture-back] [http-nio-8080-exec-6] jp.co.ea.cardcapture.model.TrumpDeck     : suit=1 / num=6 / card-c:107
2026-08-08T00:15:04.243+09:00  INFO 24256 --- [CardCapture-back] [http-nio-8080-exec-6] jp.co.ea.cardcapture.model.TrumpDeck     : createDeck; makeCard :code; 108 / suitLスペード s:1 / num: 7 numLab:7
2026-08-08T00:15:04.244+09:00  INFO 24256 --- [CardCapture-back] [http-nio-8080-exec-6] jp.co.ea.cardcapture.model.TrumpDeck     : suit=1 / num=7 / card-c:108
2026-08-08T00:15:04.244+09:00  INFO 24256 --- [CardCapture-back] [http-nio-8080-exec-6] jp.co.ea.cardcapture.model.TrumpDeck     : createDeck; makeCard :code; 109 / suitLスペード s:1 / num: 8 numLab:8
2026-08-08T00:15:04.244+09:00  INFO 24256 --- [CardCapture-back] [http-nio-8080-exec-6] jp.co.ea.cardcapture.model.TrumpDeck     : suit=1 / num=8 / card-c:109
2026-08-08T00:15:04.244+09:00  INFO 24256 --- [CardCapture-back] [http-nio-8080-exec-6] jp.co.ea.cardcapture.model.TrumpDeck     : createDeck; makeCard :code; 110 / suitLスペード s:1 / num: 9 numLab:9
2026-08-08T00:15:04.244+09:00  INFO 24256 --- [CardCapture-back] [http-nio-8080-exec-6] jp.co.ea.cardcapture.model.TrumpDeck     : suit=1 / num=9 / card-c:110
2026-08-08T00:15:04.244+09:00  INFO 24256 --- [CardCapture-back] [http-nio-8080-exec-6] jp.co.ea.cardcapture.model.TrumpDeck     : createDeck; makeCard :code; 111 / suitLスペード s:1 / num: 10 numLab:10
2026-08-08T00:15:04.244+09:00  INFO 24256 --- [CardCapture-back] [http-nio-8080-exec-6] jp.co.ea.cardcapture.model.TrumpDeck     : suit=1 / num=10 / card-c:111
2026-08-08T00:15:04.244+09:00  INFO 24256 --- [CardCapture-back] [http-nio-8080-exec-6] jp.co.ea.cardcapture.model.TrumpDeck     : createDeck; makeCard :code; 112 / suitLスペード s:1 / num: 11 numLab:ジャック
2026-08-08T00:15:04.244+09:00  INFO 24256 --- [CardCapture-back] [http-nio-8080-exec-6] jp.co.ea.cardcapture.model.TrumpDeck     : suit=1 / num=11 / card-c:112
2026-08-08T00:15:04.244+09:00  INFO 24256 --- [CardCapture-back] [http-nio-8080-exec-6] jp.co.ea.cardcapture.model.TrumpDeck     : createDeck; makeCard :code; 113 / suitLスペード s:1 / num: 12 numLab:クイーン
2026-08-08T00:15:04.244+09:00  INFO 24256 --- [CardCapture-back] [http-nio-8080-exec-6] jp.co.ea.cardcapture.model.TrumpDeck     : suit=1 / num=12 / card-c:113
2026-08-08T00:15:04.245+09:00  INFO 24256 --- [CardCapture-back] [http-nio-8080-exec-6] jp.co.ea.cardcapture.model.TrumpDeck     : createDeck; makeCard :code; 114 / suitLスペード s:1 / num: 13 numLab:キング
2026-08-08T00:15:04.245+09:00  INFO 24256 --- [CardCapture-back] [http-nio-8080-exec-6] jp.co.ea.cardcapture.model.TrumpDeck     : suit=1 / num=13 / card-c:114
2026-08-08T00:15:04.245+09:00  INFO 24256 --- [CardCapture-back] [http-nio-8080-exec-6] jp.co.ea.cardcapture.model.TrumpDeck     : createDeck; makeCard :code; 115 / suitLスペード s:1 / num: 14 numLab:エース
2026-08-08T00:15:04.245+09:00  INFO 24256 --- [CardCapture-back] [http-nio-8080-exec-6] jp.co.ea.cardcapture.model.TrumpDeck     : suit=1 / num=14 / card-c:115
2026-08-08T00:15:04.245+09:00  INFO 24256 --- [CardCapture-back] [http-nio-8080-exec-6] jp.co.ea.cardcapture.model.TrumpDeck     : createDeck; makeCard :code; 104 / suitLハート s:2 / num: 2 numLab:2
2026-08-08T00:15:04.245+09:00  INFO 24256 --- [CardCapture-back] [http-nio-8080-exec-6] jp.co.ea.cardcapture.model.TrumpDeck     : suit=2 / num=2 / card-c:104
2026-08-08T00:15:04.245+09:00  INFO 24256 --- [CardCapture-back] [http-nio-8080-exec-6] jp.co.ea.cardcapture.model.TrumpDeck     : createDeck; makeCard :code; 105 / suitLハート s:2 / num: 3 numLab:3
2026-08-08T00:15:04.246+09:00  INFO 24256 --- [CardCapture-back] [http-nio-8080-exec-6] jp.co.ea.cardcapture.model.TrumpDeck     : suit=2 / num=3 / card-c:105
2026-08-08T00:15:04.246+09:00  INFO 24256 --- [CardCapture-back] [http-nio-8080-exec-6] jp.co.ea.cardcapture.model.TrumpDeck     : createDeck; makeCard :code; 106 / suitLハート s:2 / num: 4 numLab:4
2026-08-08T00:15:04.246+09:00  INFO 24256 --- [CardCapture-back] [http-nio-8080-exec-6] jp.co.ea.cardcapture.model.TrumpDeck     : suit=2 / num=4 / card-c:106
2026-08-08T00:15:04.246+09:00  INFO 24256 --- [CardCapture-back] [http-nio-8080-exec-6] jp.co.ea.cardcapture.model.TrumpDeck     : createDeck; makeCard :code; 107 / suitLハート s:2 / num: 5 numLab:5
2026-08-08T00:15:04.246+09:00  INFO 24256 --- [CardCapture-back] [http-nio-8080-exec-6] jp.co.ea.cardcapture.model.TrumpDeck     : suit=2 / num=5 / card-c:107
2026-08-08T00:15:04.247+09:00  INFO 24256 --- [CardCapture-back] [http-nio-8080-exec-6] jp.co.ea.cardcapture.model.TrumpDeck     : createDeck; makeCard :code; 108 / suitLハート s:2 / num: 6 numLab:6
2026-08-08T00:15:04.247+09:00  INFO 24256 --- [CardCapture-back] [http-nio-8080-exec-6] jp.co.ea.cardcapture.model.TrumpDeck     : suit=2 / num=6 / card-c:108
2026-08-08T00:15:04.247+09:00  INFO 24256 --- [CardCapture-back] [http-nio-8080-exec-6] jp.co.ea.cardcapture.model.TrumpDeck     : createDeck; makeCard :code; 109 / suitLハート s:2 / num: 7 numLab:7
2026-08-08T00:15:04.247+09:00  INFO 24256 --- [CardCapture-back] [http-nio-8080-exec-6] jp.co.ea.cardcapture.model.TrumpDeck     : suit=2 / num=7 / card-c:109
